country_name_short,party_id,party_name_short,yt_page_created,month,yt_videos_n_monthly
AUS,751,AG,2006-09-20,2011-01-01,2
AUS,751,AG,2006-09-20,2011-02-01,10
AUS,751,AG,2006-09-20,2011-03-01,11
AUS,751,AG,2006-09-20,2011-04-01,5
AUS,751,AG,2006-09-20,2011-05-01,31
AUS,751,AG,2006-09-20,2011-06-01,17
AUS,751,AG,2006-09-20,2011-07-01,12
AUS,751,AG,2006-09-20,2011-08-01,21
AUS,751,AG,2006-09-20,2011-09-01,27
AUS,751,AG,2006-09-20,2011-10-01,16
AUS,751,AG,2006-09-20,2011-11-01,30
AUS,751,AG,2006-09-20,2011-12-01,15
AUS,751,AG,2006-09-20,2012-01-01,6
AUS,751,AG,2006-09-20,2012-02-01,19
AUS,751,AG,2006-09-20,2012-03-01,21
AUS,751,AG,2006-09-20,2012-04-01,12
AUS,751,AG,2006-09-20,2012-05-01,23
AUS,751,AG,2006-09-20,2012-06-01,29
AUS,751,AG,2006-09-20,2012-07-01,10
AUS,751,AG,2006-09-20,2012-08-01,33
AUS,751,AG,2006-09-20,2012-09-01,32
AUS,751,AG,2006-09-20,2012-10-01,55
AUS,751,AG,2006-09-20,2012-11-01,53
AUS,751,AG,2006-09-20,2012-12-01,10
AUS,751,AG,2006-09-20,2013-01-01,10
AUS,751,AG,2006-09-20,2013-02-01,52
AUS,751,AG,2006-09-20,2013-03-01,49
AUS,751,AG,2006-09-20,2013-04-01,16
AUS,751,AG,2006-09-20,2013-05-01,58
AUS,751,AG,2006-09-20,2013-06-01,78
AUS,751,AG,2006-09-20,2013-07-01,15
AUS,751,AG,2006-09-20,2013-08-01,60
AUS,751,AG,2006-09-20,2013-09-01,32
AUS,751,AG,2006-09-20,2013-10-01,9
AUS,751,AG,2006-09-20,2013-11-01,28
AUS,751,AG,2006-09-20,2013-12-01,28
AUS,751,AG,2006-09-20,2014-01-01,3
AUS,751,AG,2006-09-20,2014-02-01,71
AUS,751,AG,2006-09-20,2014-03-01,93
AUS,751,AG,2006-09-20,2014-04-01,28
AUS,751,AG,2006-09-20,2014-05-01,69
AUS,751,AG,2006-09-20,2014-06-01,113
AUS,751,AG,2006-09-20,2014-07-01,80
AUS,751,AG,2006-09-20,2014-08-01,26
AUS,751,AG,2006-09-20,2014-09-01,81
AUS,751,AG,2006-09-20,2014-10-01,96
AUS,751,AG,2006-09-20,2014-11-01,53
AUS,751,AG,2006-09-20,2014-12-01,28
AUS,751,AG,2006-09-20,2015-01-01,3
AUS,751,AG,2006-09-20,2015-02-01,59
AUS,751,AG,2006-09-20,2015-03-01,80
AUS,751,AG,2006-09-20,2015-04-01,6
AUS,751,AG,2006-09-20,2015-05-01,57
AUS,751,AG,2006-09-20,2015-06-01,77
AUS,751,AG,2006-09-20,2015-07-01,5
AUS,751,AG,2006-09-20,2015-08-01,48
AUS,751,AG,2006-09-20,2015-09-01,26
AUS,751,AG,2006-09-20,2015-10-01,46
AUS,751,AG,2006-09-20,2015-11-01,40
AUS,751,AG,2006-09-20,2015-12-01,15
AUS,751,AG,2006-09-20,2016-02-01,92
AUS,751,AG,2006-09-20,2016-03-01,32
AUS,751,AG,2006-09-20,2016-04-01,18
AUS,751,AG,2006-09-20,2016-05-01,36
AUS,751,AG,2006-09-20,2016-06-01,24
AUS,751,AG,2006-09-20,2016-07-01,12
AUS,751,AG,2006-09-20,2016-08-01,20
AUS,751,AG,2006-09-20,2016-09-01,36
AUS,751,AG,2006-09-20,2016-10-01,51
AUS,751,AG,2006-09-20,2016-11-01,44
AUS,751,AG,2006-09-20,2016-12-01,10
AUS,751,AG,2006-09-20,2017-01-01,6
AUS,751,AG,2006-09-20,2017-02-01,58
AUS,751,AG,2006-09-20,2017-03-01,59
AUS,751,AG,2006-09-20,2017-04-01,8
AUS,751,AG,2006-09-20,2017-05-01,74
AUS,751,AG,2006-09-20,2017-06-01,39
AUS,751,AG,2006-09-20,2017-07-01,4
AUS,751,AG,2006-09-20,2017-08-01,22
AUS,751,AG,2006-09-20,2017-09-01,14
AUS,751,AG,2006-09-20,2017-10-01,25
AUS,751,AG,2006-09-20,2017-11-01,31
AUS,751,AG,2006-09-20,2017-12-01,11
AUS,751,AG,2006-09-20,2018-01-01,6
AUS,751,AG,2006-09-20,2018-02-01,35
AUS,751,AG,2006-09-20,2018-03-01,10
AUS,751,AG,2006-09-20,2018-04-01,3
AUS,751,AG,2006-09-20,2018-05-01,15
AUS,751,AG,2006-09-20,2018-06-01,29
AUS,751,AG,2006-09-20,2018-07-01,15
AUS,751,AG,2006-09-20,2018-08-01,23
AUS,751,AG,2006-09-20,2018-09-01,18
AUS,751,AG,2006-09-20,2018-10-01,18
AUS,751,AG,2006-09-20,2018-11-01,14
AUS,751,AG,2006-09-20,2018-12-01,16
AUS,751,AG,2006-09-20,2019-01-01,4
AUS,751,AG,2006-09-20,2019-02-01,22
AUS,751,AG,2006-09-20,2019-03-01,15
AUS,751,AG,2006-09-20,2019-04-01,47
