country_name_short,party_id,party_name_short,tw_page_created,month,tw_posts_n_monthly
AUS,1411,LPA,2009-04-04,2016-05-01,167
AUS,1411,LPA,2009-04-04,2016-06-01,166
AUS,1411,LPA,2009-04-04,2016-07-01,7
AUS,1411,LPA,2009-04-04,2016-08-01,19
AUS,1411,LPA,2009-04-04,2016-09-01,28
AUS,1411,LPA,2009-04-04,2016-10-01,1
AUS,1411,LPA,2009-04-04,2017-02-01,4
AUS,1411,LPA,2009-04-04,2017-03-01,1
AUS,1411,LPA,2009-04-04,2017-04-01,1
AUS,1411,LPA,2009-04-04,2017-05-01,92
AUS,1411,LPA,2009-04-04,2017-06-01,81
AUS,1411,LPA,2009-04-04,2017-07-01,16
AUS,1411,LPA,2009-04-04,2017-08-01,5
AUS,1411,LPA,2009-04-04,2017-09-01,5
AUS,1411,LPA,2009-04-04,2017-11-01,4
AUS,1411,LPA,2009-04-04,2017-12-01,6
AUS,1411,LPA,2009-04-04,2018-01-01,1
AUS,1411,LPA,2009-04-04,2018-02-01,6
AUS,1411,LPA,2009-04-04,2018-03-01,9
AUS,1411,LPA,2009-04-04,2018-04-01,11
AUS,1411,LPA,2009-04-04,2018-05-01,77
AUS,1411,LPA,2009-04-04,2018-06-01,10
AUS,1411,LPA,2009-04-04,2018-07-01,10
AUS,1411,LPA,2009-04-04,2018-08-01,4
AUS,1411,LPA,2009-04-04,2018-09-01,10
AUS,1411,LPA,2009-04-04,2018-10-01,16
AUS,1411,LPA,2009-04-04,2018-11-01,8
AUS,1411,LPA,2009-04-04,2018-12-01,19
AUS,1411,LPA,2009-04-04,2019-01-01,39
AUS,1411,LPA,2009-04-04,2019-02-01,38
AUS,1411,LPA,2009-04-04,2019-03-01,26
AUS,1411,LPA,2009-04-04,2019-04-01,438
AUS,1411,LPA,2009-04-04,2019-05-01,238
AUS,1411,LPA,2009-04-04,2019-06-01,16
AUS,1411,LPA,2009-04-04,2019-07-01,41
AUS,1411,LPA,2009-04-04,2019-08-01,10
AUS,1411,LPA,2009-04-04,2019-09-01,20
AUS,1411,LPA,2009-04-04,2019-10-01,34
AUS,1411,LPA,2009-04-04,2019-11-01,27
AUS,1411,LPA,2009-04-04,2019-12-01,20
AUS,1411,LPA,2009-04-04,2020-01-01,4
AUS,1411,LPA,2009-04-04,2020-02-01,2
AUS,1411,LPA,2009-04-04,2020-05-01,1
AUS,1411,LPA,2009-04-04,2020-06-01,5
AUS,1411,LPA,2009-04-04,2020-07-01,3
AUS,1411,LPA,2009-04-04,2020-08-01,9
AUS,1411,LPA,2009-04-04,2020-09-01,6
AUS,1411,LPA,2009-04-04,2020-10-01,111
AUS,1411,LPA,2009-04-04,2020-11-01,4
AUS,1411,LPA,2009-04-04,2021-01-01,3
AUS,1411,LPA,2009-04-04,2021-02-01,2
AUS,1411,LPA,2009-04-04,2021-03-01,2
AUS,1411,LPA,2009-04-04,2021-05-01,68
AUS,1411,LPA,2009-04-04,2021-06-01,4
AUS,1411,LPA,2009-04-04,2021-07-01,1
AUS,1411,LPA,2009-04-04,2021-08-01,7
AUS,1411,LPA,2009-04-04,2021-09-01,7
AUS,1411,LPA,2009-04-04,2021-10-01,2
AUS,1411,LPA,2009-04-04,2021-12-01,1
AUS,1411,LPA,2009-04-04,2022-03-01,46
AUS,1411,LPA,2009-04-04,2022-04-01,40
AUS,1411,LPA,2009-04-04,2022-05-01,71
AUS,1411,LPA,2009-04-04,2022-10-01,13
AUS,1411,LPA,2009-04-04,2023-05-01,24
AUS,1411,LPA,2009-04-04,2023-06-01,4
AUS,1411,LPA,2009-04-04,2023-08-01,3
AUS,1411,LPA,2009-04-04,2023-09-01,11
AUS,1411,LPA,2009-04-04,2023-10-01,15
AUS,1411,LPA,2009-04-04,2023-11-01,3
AUS,154,LNPQ,2010-08-18,2010-08-01,20
AUS,154,LNPQ,2010-08-18,2010-09-01,28
AUS,154,LNPQ,2010-08-18,2010-10-01,4
AUS,154,LNPQ,2010-08-18,2010-11-01,12
AUS,154,LNPQ,2010-08-18,2010-12-01,66
AUS,154,LNPQ,2010-08-18,2011-01-01,56
AUS,154,LNPQ,2010-08-18,2011-02-01,91
AUS,154,LNPQ,2010-08-18,2011-03-01,49
AUS,154,LNPQ,2010-08-18,2011-04-01,15
AUS,154,LNPQ,2010-08-18,2011-05-01,7
AUS,154,LNPQ,2010-08-18,2011-06-01,13
AUS,154,LNPQ,2010-08-18,2011-07-01,132
AUS,154,LNPQ,2010-08-18,2011-08-01,125
AUS,154,LNPQ,2010-08-18,2011-09-01,43
AUS,154,LNPQ,2010-08-18,2011-10-01,47
AUS,154,LNPQ,2010-08-18,2011-11-01,47
AUS,154,LNPQ,2010-08-18,2011-12-01,9
AUS,154,LNPQ,2010-08-18,2012-01-01,73
AUS,154,LNPQ,2010-08-18,2012-02-01,184
AUS,154,LNPQ,2010-08-18,2012-03-01,211
AUS,154,LNPQ,2010-08-18,2012-04-01,7
AUS,154,LNPQ,2010-08-18,2012-05-01,1
AUS,154,LNPQ,2010-08-18,2012-06-01,1
