country_name_short,party_id,party_name_short,tw_page_created,week,tw_posts_n_weekly
AUS,1253,ALP,2010-02-05,2016-01-24,15
AUS,1253,ALP,2010-02-05,2016-01-31,3
AUS,1253,ALP,2010-02-05,2016-02-07,6
AUS,1253,ALP,2010-02-05,2016-02-14,5
AUS,1253,ALP,2010-02-05,2016-02-21,5
AUS,1253,ALP,2010-02-05,2016-02-28,3
AUS,1253,ALP,2010-02-05,2016-03-06,2
AUS,1253,ALP,2010-02-05,2016-03-13,7
AUS,1253,ALP,2010-02-05,2016-03-27,1
AUS,1253,ALP,2010-02-05,2016-04-03,3
AUS,1253,ALP,2010-02-05,2016-04-10,2
AUS,1253,ALP,2010-02-05,2016-04-17,1
AUS,1253,ALP,2010-02-05,2016-04-24,4
AUS,1253,ALP,2010-02-05,2016-05-01,81
AUS,1253,ALP,2010-02-05,2016-05-08,302
AUS,1253,ALP,2010-02-05,2016-05-15,77
AUS,1253,ALP,2010-02-05,2016-05-22,95
AUS,1253,ALP,2010-02-05,2016-05-29,114
AUS,1253,ALP,2010-02-05,2016-06-05,131
AUS,1253,ALP,2010-02-05,2016-06-12,186
AUS,1253,ALP,2010-02-05,2016-06-19,181
AUS,1253,ALP,2010-02-05,2016-06-26,389
AUS,1253,ALP,2010-02-05,2016-07-03,47
AUS,1253,ALP,2010-02-05,2016-07-10,20
AUS,1253,ALP,2010-02-05,2016-07-17,16
AUS,1253,ALP,2010-02-05,2016-07-24,24
AUS,1253,ALP,2010-02-05,2016-07-31,25
AUS,1253,ALP,2010-02-05,2016-08-07,26
AUS,1253,ALP,2010-02-05,2016-08-14,10
AUS,1253,ALP,2010-02-05,2016-08-28,63
AUS,1253,ALP,2010-02-05,2016-09-04,5
AUS,1253,ALP,2010-02-05,2016-09-11,5
AUS,1253,ALP,2010-02-05,2016-11-06,10
AUS,1253,ALP,2010-02-05,2017-02-05,1
AUS,1253,ALP,2010-02-05,2017-02-19,14
AUS,1253,ALP,2010-02-05,2017-02-26,2
AUS,1253,ALP,2010-02-05,2017-03-12,1
AUS,1253,ALP,2010-02-05,2017-03-19,2
AUS,1253,ALP,2010-02-05,2017-03-26,1
AUS,1253,ALP,2010-02-05,2017-04-09,7
AUS,1253,ALP,2010-02-05,2017-04-16,1
AUS,1253,ALP,2010-02-05,2017-04-30,4
AUS,1253,ALP,2010-02-05,2017-05-07,21
AUS,1253,ALP,2010-02-05,2017-05-14,1
AUS,1253,ALP,2010-02-05,2017-05-21,7
AUS,1253,ALP,2010-02-05,2017-05-28,2
AUS,1253,ALP,2010-02-05,2017-06-04,4
AUS,1253,ALP,2010-02-05,2017-06-11,3
AUS,1253,ALP,2010-02-05,2017-06-18,2
AUS,1253,ALP,2010-02-05,2017-06-25,2
AUS,1253,ALP,2010-02-05,2017-07-02,2
AUS,1253,ALP,2010-02-05,2017-08-06,21
AUS,1253,ALP,2010-02-05,2017-08-20,2
AUS,1253,ALP,2010-02-05,2017-08-27,1
AUS,1253,ALP,2010-02-05,2017-09-03,2
AUS,1253,ALP,2010-02-05,2017-09-10,1
AUS,1253,ALP,2010-02-05,2017-09-24,1
AUS,1253,ALP,2010-02-05,2017-10-15,3
AUS,1253,ALP,2010-02-05,2017-10-22,18
AUS,1253,ALP,2010-02-05,2017-10-29,3
AUS,1253,ALP,2010-02-05,2017-11-05,1
AUS,1253,ALP,2010-02-05,2017-11-12,1
AUS,1253,ALP,2010-02-05,2017-11-26,2
AUS,1253,ALP,2010-02-05,2017-12-03,2
AUS,1253,ALP,2010-02-05,2017-12-10,3
AUS,1253,ALP,2010-02-05,2017-12-31,1
AUS,1253,ALP,2010-02-05,2018-01-14,7
AUS,1253,ALP,2010-02-05,2018-01-21,6
AUS,1253,ALP,2010-02-05,2018-01-28,30
AUS,1253,ALP,2010-02-05,2018-02-04,8
AUS,1253,ALP,2010-02-05,2018-02-11,4
AUS,1253,ALP,2010-02-05,2018-02-18,1
AUS,1253,ALP,2010-02-05,2018-02-25,2
AUS,1253,ALP,2010-02-05,2018-03-11,1
AUS,1253,ALP,2010-02-05,2018-04-01,3
AUS,1253,ALP,2010-02-05,2018-04-08,7
AUS,1253,ALP,2010-02-05,2018-04-15,9
AUS,1253,ALP,2010-02-05,2018-04-22,8
AUS,1253,ALP,2010-02-05,2018-04-29,3
AUS,1253,ALP,2010-02-05,2018-05-06,79
AUS,1253,ALP,2010-02-05,2018-05-13,1
AUS,1253,ALP,2010-02-05,2018-05-20,2
AUS,1253,ALP,2010-02-05,2018-05-27,1
AUS,1253,ALP,2010-02-05,2018-06-03,4
AUS,1253,ALP,2010-02-05,2018-06-10,22
AUS,1253,ALP,2010-02-05,2018-06-17,2
AUS,1253,ALP,2010-02-05,2018-07-08,2
AUS,1253,ALP,2010-02-05,2018-07-15,4
AUS,1253,ALP,2010-02-05,2018-07-22,8
AUS,1253,ALP,2010-02-05,2018-08-19,15
AUS,1253,ALP,2010-02-05,2018-08-26,1
AUS,1253,ALP,2010-02-05,2018-09-02,4
AUS,1253,ALP,2010-02-05,2018-09-16,1
AUS,1253,ALP,2010-02-05,2018-09-23,1
AUS,1253,ALP,2010-02-05,2018-09-30,7
AUS,1253,ALP,2010-02-05,2018-10-07,8
AUS,1253,ALP,2010-02-05,2018-10-14,5
AUS,1253,ALP,2010-02-05,2018-10-21,4
AUS,1253,ALP,2010-02-05,2018-11-04,3
AUS,1253,ALP,2010-02-05,2018-11-18,1
AUS,1253,ALP,2010-02-05,2018-11-25,2
AUS,1253,ALP,2010-02-05,2018-12-02,11
AUS,1253,ALP,2010-02-05,2018-12-09,32
AUS,1253,ALP,2010-02-05,2018-12-16,223
AUS,1253,ALP,2010-02-05,2018-12-23,3
AUS,1253,ALP,2010-02-05,2018-12-30,7
AUS,1253,ALP,2010-02-05,2019-01-06,4
AUS,1253,ALP,2010-02-05,2019-01-13,4
AUS,1253,ALP,2010-02-05,2019-01-20,5
AUS,1253,ALP,2010-02-05,2019-01-27,4
AUS,1253,ALP,2010-02-05,2019-02-03,9
AUS,1253,ALP,2010-02-05,2019-02-10,53
AUS,1253,ALP,2010-02-05,2019-02-17,168
AUS,1253,ALP,2010-02-05,2019-02-24,19
AUS,1253,ALP,2010-02-05,2019-03-03,13
AUS,1253,ALP,2010-02-05,2019-03-10,12
AUS,1253,ALP,2010-02-05,2019-03-17,18
AUS,1253,ALP,2010-02-05,2019-03-24,18
AUS,1253,ALP,2010-02-05,2019-03-31,136
AUS,1253,ALP,2010-02-05,2019-04-07,37
AUS,1253,ALP,2010-02-05,2019-04-14,21
AUS,1253,ALP,2010-02-05,2019-04-21,20
AUS,1253,ALP,2010-02-05,2019-04-28,158
AUS,1253,ALP,2010-02-05,2019-05-05,157
AUS,1253,ALP,2010-02-05,2019-05-12,52
AUS,1253,ALP,2010-02-05,2019-05-19,3
AUS,1253,ALP,2010-02-05,2019-05-26,1
AUS,1253,ALP,2010-02-05,2019-06-02,7
AUS,1253,ALP,2010-02-05,2019-06-16,3
AUS,1253,ALP,2010-02-05,2019-06-23,12
AUS,1253,ALP,2010-02-05,2019-06-30,13
AUS,1253,ALP,2010-02-05,2019-07-07,12
AUS,1253,ALP,2010-02-05,2019-07-14,12
AUS,1253,ALP,2010-02-05,2019-07-21,15
AUS,1253,ALP,2010-02-05,2019-07-28,15
AUS,1253,ALP,2010-02-05,2019-08-04,11
AUS,1253,ALP,2010-02-05,2019-08-11,12
AUS,1253,ALP,2010-02-05,2019-08-18,9
AUS,1253,ALP,2010-02-05,2019-08-25,8
AUS,1253,ALP,2010-02-05,2019-09-01,4
AUS,1253,ALP,2010-02-05,2019-09-08,11
AUS,1253,ALP,2010-02-05,2019-09-15,10
AUS,1253,ALP,2010-02-05,2019-09-22,11
AUS,1253,ALP,2010-02-05,2019-09-29,6
AUS,1253,ALP,2010-02-05,2019-10-06,6
AUS,1253,ALP,2010-02-05,2019-10-13,12
AUS,1253,ALP,2010-02-05,2019-10-20,11
AUS,1253,ALP,2010-02-05,2019-10-27,8
AUS,1253,ALP,2010-02-05,2019-11-03,5
AUS,1253,ALP,2010-02-05,2019-11-10,2
AUS,1253,ALP,2010-02-05,2019-11-17,2
AUS,1253,ALP,2010-02-05,2019-11-24,10
AUS,1253,ALP,2010-02-05,2019-12-01,2
AUS,1253,ALP,2010-02-05,2019-12-22,3
AUS,1253,ALP,2010-02-05,2019-12-29,2
AUS,1253,ALP,2010-02-05,2020-01-05,1
AUS,1253,ALP,2010-02-05,2020-01-12,2
AUS,1253,ALP,2010-02-05,2020-01-19,5
AUS,1253,ALP,2010-02-05,2020-01-26,2
AUS,1253,ALP,2010-02-05,2020-02-02,9
AUS,1253,ALP,2010-02-05,2020-02-09,8
AUS,1253,ALP,2010-02-05,2020-02-16,9
AUS,1253,ALP,2010-02-05,2020-02-23,1
AUS,1253,ALP,2010-02-05,2020-03-22,4
AUS,1253,ALP,2010-02-05,2020-03-29,13
AUS,1253,ALP,2010-02-05,2020-04-05,9
AUS,1253,ALP,2010-02-05,2020-04-12,4
AUS,1253,ALP,2010-02-05,2020-04-19,4
AUS,1253,ALP,2010-02-05,2020-04-26,12
AUS,1253,ALP,2010-02-05,2020-05-03,11
AUS,1253,ALP,2010-02-05,2020-05-10,9
AUS,1253,ALP,2010-02-05,2020-05-17,3
AUS,1253,ALP,2010-02-05,2020-05-24,3
AUS,1253,ALP,2010-02-05,2020-06-14,1
AUS,1253,ALP,2010-02-05,2020-06-21,1
AUS,1253,ALP,2010-02-05,2020-06-28,5
AUS,1253,ALP,2010-02-05,2020-07-05,1
AUS,1253,ALP,2010-02-05,2020-07-12,10
AUS,1253,ALP,2010-02-05,2020-07-19,1
AUS,1253,ALP,2010-02-05,2020-07-26,2
AUS,1253,ALP,2010-02-05,2020-08-02,3
AUS,1253,ALP,2010-02-05,2020-08-16,1
AUS,1253,ALP,2010-02-05,2020-08-23,2
AUS,1253,ALP,2010-02-05,2020-08-30,3
AUS,1253,ALP,2010-02-05,2020-09-06,3
AUS,1253,ALP,2010-02-05,2020-09-13,3
AUS,1253,ALP,2010-02-05,2020-09-27,1
AUS,1253,ALP,2010-02-05,2020-10-04,38
AUS,1253,ALP,2010-02-05,2020-10-11,36
AUS,1253,ALP,2010-02-05,2020-10-18,28
AUS,1253,ALP,2010-02-05,2020-10-25,25
AUS,1253,ALP,2010-02-05,2020-11-01,18
AUS,1253,ALP,2010-02-05,2020-11-08,14
AUS,1253,ALP,2010-02-05,2020-11-15,7
AUS,1253,ALP,2010-02-05,2020-11-22,7
AUS,1253,ALP,2010-02-05,2020-11-29,11
AUS,1253,ALP,2010-02-05,2020-12-06,18
AUS,1253,ALP,2010-02-05,2020-12-13,2
AUS,1253,ALP,2010-02-05,2020-12-20,1
AUS,1253,ALP,2010-02-05,2021-01-03,3
AUS,1253,ALP,2010-02-05,2021-01-10,2
AUS,1253,ALP,2010-02-05,2021-01-17,4
AUS,1253,ALP,2010-02-05,2021-01-24,6
AUS,1253,ALP,2010-02-05,2021-01-31,10
AUS,1253,ALP,2010-02-05,2021-02-07,7
AUS,1253,ALP,2010-02-05,2021-02-14,7
AUS,1253,ALP,2010-02-05,2021-02-21,1
AUS,1253,ALP,2010-02-05,2021-03-07,2
AUS,1253,ALP,2010-02-05,2021-03-14,7
AUS,1253,ALP,2010-02-05,2021-03-21,4
AUS,1253,ALP,2010-02-05,2021-03-28,141
AUS,1253,ALP,2010-02-05,2021-04-04,9
AUS,1253,ALP,2010-02-05,2021-04-25,2
AUS,1253,ALP,2010-02-05,2021-05-02,4
AUS,1253,ALP,2010-02-05,2021-05-09,7
AUS,1253,ALP,2010-02-05,2021-05-16,5
AUS,1253,ALP,2010-02-05,2021-05-23,4
AUS,1253,ALP,2010-02-05,2021-05-30,3
AUS,1253,ALP,2010-02-05,2021-06-13,7
