country_name_short,party_id,party_name_short,fb_page_created,week,fb_posts_n_weekly,fb_videos_n_weekly,fb_images_n_weekly
AUS,1253,ALP,2010-02-05,2014-08-03,9,2,6
AUS,1253,ALP,2010-02-05,2014-08-10,6,2,4
AUS,1253,ALP,2010-02-05,2014-08-17,6,1,3
AUS,1253,ALP,2010-02-05,2014-08-24,6,2,2
AUS,1253,ALP,2010-02-05,2014-08-31,10,3,2
AUS,1253,ALP,2010-02-05,2014-09-07,5,0,3
AUS,1253,ALP,2010-02-05,2014-09-14,5,0,1
AUS,1253,ALP,2010-02-05,2014-09-21,10,2,3
AUS,1253,ALP,2010-02-05,2014-09-28,10,2,4
AUS,1253,ALP,2010-02-05,2014-10-05,5,2,2
AUS,1253,ALP,2010-02-05,2014-10-12,4,2,1
AUS,1253,ALP,2010-02-05,2014-10-19,10,3,0
AUS,1253,ALP,2010-02-05,2014-10-26,5,1,1
AUS,1253,ALP,2010-02-05,2014-11-02,4,0,1
AUS,1253,ALP,2010-02-05,2014-11-09,6,0,2
AUS,1253,ALP,2010-02-05,2014-11-16,6,1,1
AUS,1253,ALP,2010-02-05,2014-11-23,16,8,2
AUS,1253,ALP,2010-02-05,2014-11-30,6,1,2
AUS,1253,ALP,2010-02-05,2014-12-07,9,3,1
AUS,1253,ALP,2010-02-05,2014-12-14,6,1,1
AUS,1253,ALP,2010-02-05,2014-12-21,2,1,0
AUS,1253,ALP,2010-02-05,2014-12-28,2,0,1
AUS,1253,ALP,2010-02-05,2015-01-04,8,1,0
AUS,1253,ALP,2010-02-05,2015-01-11,8,3,0
AUS,1253,ALP,2010-02-05,2015-01-18,8,4,0
AUS,1253,ALP,2010-02-05,2015-01-25,11,3,2
AUS,1253,ALP,2010-02-05,2015-02-01,13,7,0
AUS,1253,ALP,2010-02-05,2015-02-08,13,5,2
AUS,1253,ALP,2010-02-05,2015-02-15,11,1,1
AUS,1253,ALP,2010-02-05,2015-02-22,17,8,0
AUS,1253,ALP,2010-02-05,2015-03-01,13,4,0
AUS,1253,ALP,2010-02-05,2015-03-08,9,5,0
AUS,1253,ALP,2010-02-05,2015-03-15,13,6,0
AUS,1253,ALP,2010-02-05,2015-03-22,14,6,2
AUS,1253,ALP,2010-02-05,2015-03-29,14,3,2
AUS,1253,ALP,2010-02-05,2015-04-05,16,5,1
AUS,1253,ALP,2010-02-05,2015-04-12,15,1,3
AUS,1253,ALP,2010-02-05,2015-04-19,17,3,3
AUS,1253,ALP,2010-02-05,2015-04-26,14,2,3
AUS,1253,ALP,2010-02-05,2015-05-03,20,2,8
AUS,1253,ALP,2010-02-05,2015-05-10,45,18,16
AUS,1253,ALP,2010-02-05,2015-05-17,27,9,3
AUS,1253,ALP,2010-02-05,2015-05-24,25,7,9
AUS,1253,ALP,2010-02-05,2015-05-31,31,11,4
AUS,1253,ALP,2010-02-05,2015-06-07,28,4,5
AUS,1253,ALP,2010-02-05,2015-06-14,30,13,5
AUS,1253,ALP,2010-02-05,2015-06-21,31,4,6
AUS,1253,ALP,2010-02-05,2015-06-28,30,4,6
AUS,1253,ALP,2010-02-05,2015-07-05,32,8,7
AUS,1253,ALP,2010-02-05,2015-07-12,41,16,3
AUS,1253,ALP,2010-02-05,2015-07-19,49,7,3
AUS,1253,ALP,2010-02-05,2015-07-26,43,7,4
AUS,1253,ALP,2010-02-05,2015-08-02,29,8,2
AUS,1253,ALP,2010-02-05,2015-08-09,53,17,7
AUS,1253,ALP,2010-02-05,2015-08-16,24,4,5
AUS,1253,ALP,2010-02-05,2015-08-23,26,2,5
AUS,1253,ALP,2010-02-05,2015-08-30,30,6,4
AUS,1253,ALP,2010-02-05,2015-09-06,37,13,3
AUS,1253,ALP,2010-02-05,2015-09-13,32,10,4
AUS,1253,ALP,2010-02-05,2015-09-20,28,6,5
AUS,1253,ALP,2010-02-05,2015-09-27,22,4,1
AUS,1253,ALP,2010-02-05,2015-10-04,25,1,6
AUS,1253,ALP,2010-02-05,2015-10-11,27,4,7
AUS,1253,ALP,2010-02-05,2015-10-18,26,4,5
AUS,1253,ALP,2010-02-05,2015-10-25,24,5,2
AUS,1253,ALP,2010-02-05,2015-11-01,27,4,3
AUS,1253,ALP,2010-02-05,2015-11-08,24,6,5
AUS,1253,ALP,2010-02-05,2015-11-15,19,4,4
AUS,1253,ALP,2010-02-05,2015-11-22,21,5,4
AUS,1253,ALP,2010-02-05,2015-11-29,27,4,5
AUS,1253,ALP,2010-02-05,2015-12-06,19,6,2
AUS,1253,ALP,2010-02-05,2015-12-13,23,3,5
AUS,1253,ALP,2010-02-05,2015-12-20,14,2,7
AUS,1253,ALP,2010-02-05,2015-12-27,11,1,3
AUS,1253,ALP,2010-02-05,2016-01-03,14,1,5
AUS,1253,ALP,2010-02-05,2016-01-10,11,4,1
AUS,1253,ALP,2010-02-05,2016-01-17,11,0,2
AUS,1253,ALP,2010-02-05,2016-01-24,14,5,4
AUS,1253,ALP,2010-02-05,2016-01-31,10,4,3
AUS,1253,ALP,2010-02-05,2016-02-07,20,7,8
AUS,1253,ALP,2010-02-05,2016-02-14,16,6,4
AUS,1253,ALP,2010-02-05,2016-02-21,15,6,4
AUS,1253,ALP,2010-02-05,2016-02-28,20,6,7
AUS,1253,ALP,2010-02-05,2016-03-06,12,1,2
AUS,1253,ALP,2010-02-05,2016-03-13,21,7,7
AUS,1253,ALP,2010-02-05,2016-03-20,19,3,7
AUS,1253,ALP,2010-02-05,2016-03-27,13,2,5
AUS,1253,ALP,2010-02-05,2016-04-03,13,3,6
AUS,1253,ALP,2010-02-05,2016-04-10,13,5,5
AUS,1253,ALP,2010-02-05,2016-04-17,10,4,4
AUS,1253,ALP,2010-02-05,2016-04-24,14,7,4
AUS,1253,ALP,2010-02-05,2016-05-01,30,15,11
AUS,1253,ALP,2010-02-05,2016-05-08,33,13,17
AUS,1253,ALP,2010-02-05,2016-05-15,38,18,12
AUS,1253,ALP,2010-02-05,2016-05-22,36,19,12
AUS,1253,ALP,2010-02-05,2016-05-29,60,22,15
AUS,1253,ALP,2010-02-05,2016-06-05,56,23,18
AUS,1253,ALP,2010-02-05,2016-06-12,61,40,13
AUS,1253,ALP,2010-02-05,2016-06-19,67,34,18
AUS,1253,ALP,2010-02-05,2016-06-26,84,46,22
AUS,1253,ALP,2010-02-05,2016-07-03,9,5,1
AUS,1253,ALP,2010-02-05,2016-07-10,9,1,4
AUS,1253,ALP,2010-02-05,2016-07-17,8,2,4
AUS,1253,ALP,2010-02-05,2016-07-24,5,1,0
AUS,1253,ALP,2010-02-05,2016-07-31,7,3,3
AUS,1253,ALP,2010-02-05,2016-08-07,11,4,2
AUS,1253,ALP,2010-02-05,2016-08-14,6,3,2
AUS,1253,ALP,2010-02-05,2016-08-21,9,3,3
AUS,1253,ALP,2010-02-05,2016-08-28,9,2,3
AUS,1253,ALP,2010-02-05,2016-09-04,9,4,2
AUS,1253,ALP,2010-02-05,2016-09-11,7,3,1
AUS,1253,ALP,2010-02-05,2016-09-18,9,2,4
AUS,1253,ALP,2010-02-05,2016-09-25,6,1,1
AUS,1253,ALP,2010-02-05,2016-10-02,6,4,1
AUS,1253,ALP,2010-02-05,2016-10-09,9,2,6
AUS,1253,ALP,2010-02-05,2016-10-16,12,5,4
AUS,1253,ALP,2010-02-05,2016-10-23,11,3,3
AUS,1253,ALP,2010-02-05,2016-10-30,5,2,1
AUS,1253,ALP,2010-02-05,2016-11-06,8,4,2
AUS,1253,ALP,2010-02-05,2016-11-13,7,5,0
AUS,1253,ALP,2010-02-05,2016-11-20,3,1,2
AUS,1253,ALP,2010-02-05,2016-11-27,3,1,0
AUS,1253,ALP,2010-02-05,2016-12-04,5,1,1
AUS,1253,ALP,2010-02-05,2016-12-11,4,1,3
AUS,1253,ALP,2010-02-05,2016-12-18,3,2,1
AUS,1253,ALP,2010-02-05,2016-12-25,1,0,1
AUS,1253,ALP,2010-02-05,2017-01-01,1,0,0
AUS,1253,ALP,2010-02-05,2017-01-22,1,0,1
AUS,1253,ALP,2010-02-05,2017-01-29,9,3,4
AUS,1253,ALP,2010-02-05,2017-02-05,14,5,6
AUS,1253,ALP,2010-02-05,2017-02-12,9,6,2
AUS,1253,ALP,2010-02-05,2017-02-19,11,1,8
AUS,1253,ALP,2010-02-05,2017-02-26,17,7,7
AUS,1253,ALP,2010-02-05,2017-03-05,9,3,6
AUS,1253,ALP,2010-02-05,2017-03-12,7,6,0
AUS,1253,ALP,2010-02-05,2017-03-19,11,6,3
AUS,1253,ALP,2010-02-05,2017-03-26,13,11,1
AUS,1253,ALP,2010-02-05,2017-04-02,7,5,1
AUS,1253,ALP,2010-02-05,2017-04-09,11,5,4
AUS,1253,ALP,2010-02-05,2017-04-16,6,1,3
AUS,1253,ALP,2010-02-05,2017-04-23,6,0,5
AUS,1253,ALP,2010-02-05,2017-04-30,7,6,0
AUS,1253,ALP,2010-02-05,2017-05-07,31,12,18
AUS,1253,ALP,2010-02-05,2017-05-14,6,3,2
AUS,1253,ALP,2010-02-05,2017-05-21,10,4,1
AUS,1253,ALP,2010-02-05,2017-05-28,7,2,3
AUS,1253,ALP,2010-02-05,2017-06-04,7,2,3
AUS,1253,ALP,2010-02-05,2017-06-11,10,4,5
AUS,1253,ALP,2010-02-05,2017-06-18,16,9,5
AUS,1253,ALP,2010-02-05,2017-06-25,14,5,9
AUS,1253,ALP,2010-02-05,2017-07-02,7,4,3
AUS,1253,ALP,2010-02-05,2017-07-09,5,2,2
AUS,1253,ALP,2010-02-05,2017-07-16,9,2,4
AUS,1253,ALP,2010-02-05,2017-07-23,11,4,4
AUS,1253,ALP,2010-02-05,2017-07-30,11,6,2
AUS,1253,ALP,2010-02-05,2017-08-06,15,4,3
AUS,1253,ALP,2010-02-05,2017-08-13,15,2,7
AUS,1253,ALP,2010-02-05,2017-08-20,14,6,5
AUS,1253,ALP,2010-02-05,2017-08-27,16,5,4
AUS,1253,ALP,2010-02-05,2017-09-03,18,4,9
AUS,1253,ALP,2010-02-05,2017-09-10,22,10,9
AUS,1253,ALP,2010-02-05,2017-09-17,15,4,6
AUS,1253,ALP,2010-02-05,2017-09-24,13,5,7
AUS,1253,ALP,2010-02-05,2017-10-01,9,0,5
AUS,1253,ALP,2010-02-05,2017-10-08,12,2,8
AUS,1253,ALP,2010-02-05,2017-10-15,20,7,8
AUS,1253,ALP,2010-02-05,2017-10-22,18,7,8
AUS,1253,ALP,2010-02-05,2017-10-29,14,3,5
AUS,1253,ALP,2010-02-05,2017-11-05,10,4,1
AUS,1253,ALP,2010-02-05,2017-11-12,13,9,3
AUS,1253,ALP,2010-02-05,2017-11-19,13,9,1
AUS,1253,ALP,2010-02-05,2017-11-26,8,2,4
AUS,1253,ALP,2010-02-05,2017-12-03,11,7,3
AUS,1253,ALP,2010-02-05,2017-12-10,8,0,2
AUS,1253,ALP,2010-02-05,2017-12-17,6,3,2
AUS,1253,ALP,2010-02-05,2017-12-24,5,3,2
AUS,1253,ALP,2010-02-05,2017-12-31,2,0,1
AUS,1253,ALP,2010-02-05,2018-01-07,2,1,0
AUS,1253,ALP,2010-02-05,2018-01-14,9,4,2
AUS,1253,ALP,2010-02-05,2018-01-21,7,2,4
AUS,1253,ALP,2010-02-05,2018-01-28,9,4,2
AUS,1253,ALP,2010-02-05,2018-02-04,12,5,5
AUS,1253,ALP,2010-02-05,2018-02-11,12,5,6
AUS,1253,ALP,2010-02-05,2018-02-18,8,4,2
AUS,1253,ALP,2010-02-05,2018-02-25,6,2,2
AUS,1253,ALP,2010-02-05,2018-03-04,7,4,1
AUS,1253,ALP,2010-02-05,2018-03-11,9,3,2
AUS,1253,ALP,2010-02-05,2018-03-18,4,1,3
AUS,1253,ALP,2010-02-05,2018-03-25,4,2,2
AUS,1253,ALP,2010-02-05,2018-04-01,10,4,5
AUS,1253,ALP,2010-02-05,2018-04-08,15,5,8
AUS,1253,ALP,2010-02-05,2018-04-15,12,2,5
AUS,1253,ALP,2010-02-05,2018-04-22,20,6,8
AUS,1253,ALP,2010-02-05,2018-04-29,21,7,6
AUS,1253,ALP,2010-02-05,2018-05-06,38,16,19
AUS,1253,ALP,2010-02-05,2018-05-13,16,3,6
AUS,1253,ALP,2010-02-05,2018-05-20,21,7,9
AUS,1253,ALP,2010-02-05,2018-05-27,18,9,4
AUS,1253,ALP,2010-02-05,2018-06-03,19,7,9
AUS,1253,ALP,2010-02-05,2018-06-10,17,6,6
AUS,1253,ALP,2010-02-05,2018-06-17,19,10,3
AUS,1253,ALP,2010-02-05,2018-06-24,10,6,2
AUS,1253,ALP,2010-02-05,2018-07-01,11,4,3
AUS,1253,ALP,2010-02-05,2018-07-08,12,3,6
AUS,1253,ALP,2010-02-05,2018-07-15,15,4,5
AUS,1253,ALP,2010-02-05,2018-07-22,22,6,8
AUS,1253,ALP,2010-02-05,2018-07-29,18,6,2
AUS,1253,ALP,2010-02-05,2018-08-05,12,4,0
AUS,1253,ALP,2010-02-05,2018-08-12,20,10,5
AUS,1253,ALP,2010-02-05,2018-08-19,20,7,4
AUS,1253,ALP,2010-02-05,2018-08-26,12,3,4
AUS,1253,ALP,2010-02-05,2018-09-02,21,5,9
AUS,1253,ALP,2010-02-05,2018-09-09,24,6,8
AUS,1253,ALP,2010-02-05,2018-09-16,18,5,6
AUS,1253,ALP,2010-02-05,2018-09-23,14,5,4
AUS,1253,ALP,2010-02-05,2018-09-30,24,7,8
AUS,1253,ALP,2010-02-05,2018-10-07,23,7,9
AUS,1253,ALP,2010-02-05,2018-10-14,21,5,4
AUS,1253,ALP,2010-02-05,2018-10-21,16,8,4
AUS,1253,ALP,2010-02-05,2018-10-28,19,4,5
AUS,1253,ALP,2010-02-05,2018-11-04,19,5,6
