country_name_short,party_id,party_name_short,insta_page_created,day,insta_posts_n_daily,insta_type_img_n_daily,insta_type_vid_n_daily,insta_type_car_n_daily
AUS,1253,ALP,2016-05-23,2020-12-09,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-12-10,1,0,0,1
AUS,1253,ALP,2016-05-23,2020-12-12,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-12-15,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-12-16,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-12-18,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-12-19,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-12-20,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-12-21,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-12-22,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-12-23,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-12-24,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-12-25,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-12-26,2,2,0,0
AUS,1253,ALP,2016-05-23,2020-12-27,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-12-28,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-12-29,1,1,0,0
AUS,1253,ALP,2016-05-23,2020-12-31,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-01-06,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-01-18,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-01-19,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-01-20,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-01-21,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-01-22,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-01-23,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-01-24,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-01-27,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-01-28,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-01-29,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-02-01,3,3,0,0
AUS,1253,ALP,2016-05-23,2021-02-02,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-02-04,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-02-05,1,0,1,0
AUS,1253,ALP,2016-05-23,2021-02-06,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-02-08,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-02-09,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-02-10,2,1,0,1
AUS,1253,ALP,2016-05-23,2021-02-11,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-02-12,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-02-13,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-02-14,1,0,1,0
AUS,1253,ALP,2016-05-23,2021-02-15,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-02-18,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-02-19,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-02-20,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-02-21,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-02-22,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-02-23,3,2,0,1
AUS,1253,ALP,2016-05-23,2021-02-24,1,0,0,1
AUS,1253,ALP,2016-05-23,2021-03-01,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-03-02,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-03-03,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-03-04,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-03-05,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-03-06,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-03-08,3,3,0,0
AUS,1253,ALP,2016-05-23,2021-03-09,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-03-10,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-03-11,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-03-12,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-03-15,1,0,0,1
AUS,1253,ALP,2016-05-23,2021-03-19,2,1,0,1
AUS,1253,ALP,2016-05-23,2021-03-24,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-03-28,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-03-30,5,5,0,0
AUS,1253,ALP,2016-05-23,2021-03-31,3,3,0,0
AUS,1253,ALP,2016-05-23,2021-04-01,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-04-04,3,3,0,0
AUS,1253,ALP,2016-05-23,2021-04-05,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-04-07,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-04-08,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-04-09,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-04-15,2,1,0,1
AUS,1253,ALP,2016-05-23,2021-04-17,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-04-18,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-04-19,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-04-20,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-04-21,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-04-22,1,0,1,0
AUS,1253,ALP,2016-05-23,2021-04-23,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-04-24,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-04-28,3,3,0,0
AUS,1253,ALP,2016-05-23,2021-04-29,3,3,0,0
AUS,1253,ALP,2016-05-23,2021-05-03,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-05-04,2,1,0,1
AUS,1253,ALP,2016-05-23,2021-05-06,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-05-07,3,3,0,0
AUS,1253,ALP,2016-05-23,2021-05-08,1,0,0,1
AUS,1253,ALP,2016-05-23,2021-05-10,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-05-11,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-05-12,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-05-13,5,5,0,0
AUS,1253,ALP,2016-05-23,2021-05-14,5,5,0,0
AUS,1253,ALP,2016-05-23,2021-05-15,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-05-17,3,2,0,1
AUS,1253,ALP,2016-05-23,2021-05-18,3,3,0,0
AUS,1253,ALP,2016-05-23,2021-05-19,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-05-20,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-05-21,3,3,0,0
AUS,1253,ALP,2016-05-23,2021-05-22,1,1,0,0
AUS,1253,ALP,2016-05-23,2021-05-24,2,2,0,0
AUS,1253,ALP,2016-05-23,2021-05-25,3,3,0,0
AUS,1253,ALP,2016-05-23,2021-05-26,2,2,0,0
