country_name_short,party_id,party_name_short,yt_page_created,day,yt_videos_n_daily
AUS,1253,ALP,2007-06-11,2014-10-15,1
AUS,1253,ALP,2007-06-11,2014-10-23,10
AUS,1253,ALP,2007-06-11,2014-10-25,1
AUS,1253,ALP,2007-06-11,2014-10-30,5
AUS,1253,ALP,2007-06-11,2014-10-31,4
AUS,1253,ALP,2007-06-11,2014-11-01,1
AUS,1253,ALP,2007-06-11,2014-11-06,17
AUS,1253,ALP,2007-06-11,2014-11-17,1
AUS,1253,ALP,2007-06-11,2014-12-22,1
AUS,1253,ALP,2007-06-11,2014-12-23,1
AUS,1253,ALP,2007-06-11,2015-03-23,1
AUS,1253,ALP,2007-06-11,2015-05-14,1
AUS,1253,ALP,2007-06-11,2015-05-27,1
AUS,1253,ALP,2007-06-11,2015-06-02,1
AUS,1253,ALP,2007-06-11,2015-06-12,1
AUS,1253,ALP,2007-06-11,2015-06-16,1
AUS,1253,ALP,2007-06-11,2015-07-15,1
AUS,1253,ALP,2007-06-11,2015-08-07,1
AUS,1253,ALP,2007-06-11,2015-09-15,3
AUS,1253,ALP,2007-06-11,2016-03-17,1
AUS,1253,ALP,2007-06-11,2016-05-03,19
AUS,1253,ALP,2007-06-11,2016-05-14,1
AUS,1253,ALP,2007-06-11,2016-05-16,1
AUS,1253,ALP,2007-06-11,2016-05-20,9
AUS,1253,ALP,2007-06-11,2016-05-24,14
AUS,1253,ALP,2007-06-11,2016-05-25,1
AUS,1253,ALP,2007-06-11,2016-05-30,1
AUS,1253,ALP,2007-06-11,2016-06-01,14
AUS,1253,ALP,2007-06-11,2016-06-02,1
AUS,1253,ALP,2007-06-11,2016-06-03,1
AUS,1253,ALP,2007-06-11,2016-06-07,3
AUS,1253,ALP,2007-06-11,2016-06-09,2
AUS,1253,ALP,2007-06-11,2016-06-11,1
AUS,1253,ALP,2007-06-11,2016-06-13,3
AUS,1253,ALP,2007-06-11,2016-06-14,3
AUS,1253,ALP,2007-06-11,2016-06-18,1
AUS,1253,ALP,2007-06-11,2016-06-19,5
AUS,1253,ALP,2007-06-11,2016-06-21,1
AUS,1253,ALP,2007-06-11,2016-06-24,1
AUS,1253,ALP,2007-06-11,2016-06-25,1
AUS,1253,ALP,2007-06-11,2016-06-26,1
AUS,1253,ALP,2007-06-11,2016-06-27,1
AUS,1253,ALP,2007-06-11,2016-06-28,2
AUS,1253,ALP,2007-06-11,2016-06-30,1
