country_name_short,party_id,party_name_short,yt_page_created,year,yt_videos_n_yearly
BGR,982,BSP,2014-04-29,2021,662
BGR,982,BSP,2014-04-29,2022,598
BGR,982,BSP,2014-04-29,2023,118
CAN,1255,CPC,2007-01-26,2011,4
CAN,1255,CPC,2007-01-26,2012,9
CAN,1255,CPC,2007-01-26,2013,5
CAN,1255,CPC,2007-01-26,2014,17
CAN,1255,CPC,2007-01-26,2015,38
CAN,1255,CPC,2007-01-26,2016,9
CAN,1255,CPC,2007-01-26,2017,44
CAN,1255,CPC,2007-01-26,2018,111
CAN,1255,CPC,2007-01-26,2019,91
CAN,1255,CPC,2007-01-26,2020,9
CAN,1255,CPC,2007-01-26,2021,112
CAN,1255,CPC,2007-01-26,2022,20
CAN,1255,CPC,2007-01-26,2023,58
CAN,1259,GPC,2007-10-19,2007,3
CAN,1259,GPC,2007-10-19,2008,46
CAN,1259,GPC,2007-10-19,2009,46
CAN,1259,GPC,2007-10-19,2010,26
CAN,1259,GPC,2007-10-19,2011,281
CAN,1259,GPC,2007-10-19,2012,292
CAN,1259,GPC,2007-10-19,2013,281
CAN,1259,GPC,2007-10-19,2014,167
CAN,1259,GPC,2007-10-19,2015,119
CAN,1259,GPC,2007-10-19,2016,94
CAN,1259,GPC,2007-10-19,2017,160
CAN,1259,GPC,2007-10-19,2018,267
CAN,1259,GPC,2007-10-19,2019,149
CAN,1259,GPC,2007-10-19,2020,452
CAN,1259,GPC,2007-10-19,2021,373
CAN,1259,GPC,2007-10-19,2022,374
CAN,1259,GPC,2007-10-19,2023,380
CAN,296,CCF|NDP,2007-03-13,2017,19
CAN,296,CCF|NDP,2007-03-13,2018,46
CAN,296,CCF|NDP,2007-03-13,2019,20
CAN,296,CCF|NDP,2007-03-13,2021,14
CAN,296,CCF|NDP,2007-03-13,2022,28
CAN,296,CCF|NDP,2007-03-13,2023,14
CAN,368,LP,2007-01-29,2013,11
CAN,368,LP,2007-01-29,2014,70
CAN,368,LP,2007-01-29,2015,177
CAN,368,LP,2007-01-29,2016,61
CAN,368,LP,2007-01-29,2017,39
CAN,368,LP,2007-01-29,2018,45
CAN,368,LP,2007-01-29,2019,68
CAN,368,LP,2007-01-29,2020,4
CAN,368,LP,2007-01-29,2021,44
CAN,368,LP,2007-01-29,2022,66
CAN,368,LP,2007-01-29,2023,188
CAN,448,BQ,2007-10-22,2007,1
CAN,448,BQ,2007-10-22,2008,1
CAN,448,BQ,2007-10-22,2009,5
CAN,448,BQ,2007-10-22,2010,1
CAN,448,BQ,2007-10-22,2011,10
