country_name_short,party_id,party_name,party_name_english,party_name_short,party_created_date,party_end_date,website,fb_handle,fb_scraping,fb_status,fb_account_type,fb_page_created,fb_date_min,fb_date_max,fb_posts_n,fb_collection_update,insta_handle,insta_scraping,insta_status,insta_account_type,insta_page_created,insta_date_min,insta_date_max,insta_posts_n,insta_type_img_n,insta_type_vid_n,insta_type_car_n,insta_collection_update,tw_handle,tw_scraping,tw_status,tw_account_type,tw_page_created,tw_date_min,tw_date_max,tw_posts_n,tw_collection_update,yt_scraping,yt_channel_id,yt_channel_url,yt_status,yt_account_type,yt_page_created,yt_date_min,yt_date_max,yt_videos_n,yt_collection_update
ISR,1419,Meretz,Energy,Meretz,1992-01-01,NA,https://meretz.org.il/,Meretz,TRUE,Collection completed,party,2008-01-19,2009-01-28,2023-12-28,5514,2023-12-31,meretz_party,TRUE,Collection completed,party,2012-05-13,2012-05-13,2012-05-13,1552,1306,164,82,2023-12-31,meretzparty,TRUE,Collection completed,party,NA,NA,NA,NA,NA,TRUE,UCXlgsb8j1pRJfBY1GAsiyvg,@avigdorlibermanil,Collection completed,party,2020-04-25,2020-05-03,2023-12-31,280,2023-12-31
ISR,1816,Yisrael Beiteinu,Israel Our Home,YB,1999-01-01,NA,https://beytenu.org.il/,beytenu,TRUE,Collection completed,leader,2012-03-18,2012-04-08,2023-12-31,6620,2023-12-31,beytenu,TRUE,Collection completed,party,2017-01-23,2017-01-23,2017-01-23,63,63,0,0,2023-12-31,Beytenu,TRUE,Collection completed,party,NA,NA,NA,NA,NA,TRUE,UCzYTVUmcq3Dh9w2XUYt6_Iw,@beytenu,Collection completed,party,2010-12-22,2012-06-26,2015-04-12,135,2023-12-31
ISR,1846,al-Qā'ima al-'Arabiyya al-Muwaḥḥada,United Arab List,Raam,1996-01-01,NA,https://web.archive.org/web/20210329115422/http://almwahda.com/sign/,almwahda1,FALSE,Collection not completed,party,2016-03-08,2016-03-08,2023-12-31,1740,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,No account identified,NA,NA,NA,NA,NA,2023-12-31
ISR,1870,Kadima,Forward,Kadima,2005-11-24,2015-03-17,nf,NA,FALSE,No account identified,NA,NA,NA,NA,NA,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,TRUE,UCRePGWxKzOKbYaJp0CPc-yw,@יהדותהתורה-ח2מ,Collection completed,party,2015-03-01,2015-03-01,2015-03-17,23,2023-12-31
ISR,1873,Gimla'ey Israel,Pensioners of Israel,Gil,1990-01-01,NA,nf,NA,FALSE,No account identified,NA,NA,NA,NA,NA,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,No account identified,NA,NA,NA,NA,NA,2023-12-31
ISR,2320,Hatnuah,The Movement,Hat,2012-11-27,2019-12-31,http://www.hatnua.org.il/,Hatnua,TRUE,Collection completed,party,2012-12-02,2012-12-02,2020-11-08,2092,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-31,Hatnua,TRUE,Collection completed,party,NA,NA,NA,NA,NA,TRUE,UCRePGWxKzOKbYaJp0CPc-yw,@יהדותהתורה-ח2מ,Collection completed,party,2015-03-01,2015-03-01,2015-03-17,23,2023-12-31
ISR,2321,Yesh Atid,There is a Future,YA,2012-01-01,NA,https://yeshatid.org.il/,yeshatidparty,TRUE,Collection completed,party,2012-06-09,2012-11-27,2023-12-31,4074,2023-12-31,yeshatidtelem,TRUE,Collection completed,party,2020-05-11,2020-05-11,2020-05-11,21,14,1,6,2023-12-31,YeshAtidParty,TRUE,Collection completed,party,NA,NA,NA,NA,NA,TRUE,UCGaxHoA164ZtteUDLsVOJBQ,@lapidteam,Collection completed,party,2012-01-09,2012-03-07,2023-12-19,1191,2023-12-31
ISR,2410,Kulanu,All of Us,Kulanu,2014-11-27,2019-12-31,https://kulanu.org/,Kulanu,TRUE,Collection completed,party,2008-04-29,2015-03-02,2023-12-29,1295,2023-12-31,kulanu_inc,TRUE,Collection completed,party,2016-12-17,2016-12-17,2016-12-17,518,501,11,6,2023-12-31,Kulanu_Inc,TRUE,Collection completed,party,NA,NA,NA,NA,NA,TRUE,UCEav_voditcNTlGL4JIcF4Q,@kulanuvideo,Collection completed,party,2010-11-19,2010-11-21,2023-12-27,136,2023-12-31
ISR,2725,Kahol Lavan,Blue and White,KL,2019-02-21,2022-08-14,https://kachollavan.org.il/,kachollavan19,TRUE,Collection completed,party,2019-02-21,2019-02-24,2023-12-27,1831,2023-12-31,blueandwhite.,TRUE,Collection completed,party,2019-02-24,2019-02-24,2019-02-24,899,510,267,122,2023-12-31,Kachollavan19,TRUE,Collection completed,party,NA,NA,NA,NA,NA,TRUE,UCwf8d-hDrt3OXBoSMQuc4kQ,@-bennygantz,Collection completed,party,2019-01-16,2019-01-17,2023-12-27,564,2023-12-31
ISR,2726,Yamina,Rightwards,Y,2019-07-29,NA,website non available,NA,FALSE,No account identified,NA,NA,NA,NA,NA,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,No account identified,NA,NA,NA,NA,NA,2023-12-31
ISR,2835,Tikva Hadasha,New Hope,NH,2020-12-08,NA,https://www.newhope.org.il/,GideonSaarIL,TRUE,Collection completed,leader,2008-11-12,2008-11-12,2023-12-28,2153,2023-12-31,gideonsaar,TRUE,Collection completed,leader,2012-05-21,2012-05-21,2012-05-21,1913,1552,259,102,2023-12-31,gidonsaar,TRUE,Collection completed,leader,NA,NA,NA,NA,NA,TRUE,UCvWvxk-42WtpSBshdTCVJig,@gideonsaweb,Collection completed,leader,2011-03-15,2011-03-16,2023-12-27,509,2023-12-31
ITA,52,Democrazia Cristiana per le Autonomie,Christian Democracy for the Autonomies,DCA,2005-06-25,2009-03-27,NA,NA,FALSE,No account identified,NA,NA,NA,NA,NA,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,No account identified,NA,NA,NA,NA,NA,2023-12-31
ITA,226,Unione / Centro,Union / Centre,UC,2002-12-06,NA,https://www.udc-italia.it/,UdcIta,TRUE,Collection partial,party,2016-08-30,2018-09-27,2023-12-31,4378,2023-12-31,udcitalia,TRUE,Collection completed,party,2018-09-05,2018-09-05,2018-09-05,2500,2008,371,121,2023-12-31,UdcIta,TRUE,Collection completed,party,2016-10-18,2016-10-18,2023-12-31,5341,2023-12-31,TRUE,UCA9TXf8ncJMpdwW-JNYU3Tw,@udcitaliatv,Collection completed,party,2016-10-20,2016-10-20,2023-11-05,470,2023-12-31
ITA,373,Alleanza Nazionale,National Alliance,AN,1994-01-22,2009-03-22,NA,NA,FALSE,No account identified,NA,NA,NA,NA,NA,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-31,NA,FALSE,No account identified,NA,NA,NA,NA,NA,NA,TRUE,UCKpOUjr9aA5U4m80v2aoZpA,@alleanzanazionale,Collection completed,party,2006-08-21,2007-06-13,2009-03-27,163,2023-12-31
