country_name_short,party_id,party_name_short,insta_page_created,week,insta_posts_n_weekly,insta_type_img_n_weekly,insta_type_vid_n_weekly,insta_type_car_n_weekly
AUS,1411,LPA,2013-03-20,2020-12-20,2,2,0,0
AUS,1411,LPA,2013-03-20,2020-12-27,2,2,0,0
AUS,1411,LPA,2013-03-20,2021-01-03,1,1,0,0
AUS,1411,LPA,2013-03-20,2021-01-10,8,8,0,0
AUS,1411,LPA,2013-03-20,2021-01-17,6,5,1,0
AUS,1411,LPA,2013-03-20,2021-01-24,7,7,0,0
AUS,1411,LPA,2013-03-20,2021-01-31,9,9,0,0
AUS,1411,LPA,2013-03-20,2021-02-07,4,4,0,0
AUS,1411,LPA,2013-03-20,2021-02-14,5,5,0,0
AUS,1411,LPA,2013-03-20,2021-02-21,9,8,1,0
AUS,1411,LPA,2013-03-20,2021-02-28,10,9,1,0
AUS,1411,LPA,2013-03-20,2021-03-07,11,11,0,0
AUS,1411,LPA,2013-03-20,2021-03-14,13,13,0,0
AUS,1411,LPA,2013-03-20,2021-03-21,3,3,0,0
AUS,1411,LPA,2013-03-20,2021-03-28,6,6,0,0
AUS,1411,LPA,2013-03-20,2021-04-04,6,6,0,0
AUS,1411,LPA,2013-03-20,2021-04-11,12,12,0,0
AUS,1411,LPA,2013-03-20,2021-04-18,13,11,2,0
AUS,1411,LPA,2013-03-20,2021-04-25,7,7,0,0
AUS,1411,LPA,2013-03-20,2021-05-02,12,11,1,0
AUS,1411,LPA,2013-03-20,2021-05-09,11,11,0,0
AUS,1411,LPA,2013-03-20,2021-05-16,12,12,0,0
AUS,1411,LPA,2013-03-20,2021-05-23,10,10,0,0
AUS,1411,LPA,2013-03-20,2021-05-30,9,9,0,0
AUS,1411,LPA,2013-03-20,2021-06-06,19,19,0,0
AUS,1411,LPA,2013-03-20,2021-06-13,12,12,0,0
AUS,1411,LPA,2013-03-20,2021-06-20,11,11,0,0
AUS,1411,LPA,2013-03-20,2021-06-27,6,6,0,0
AUS,1411,LPA,2013-03-20,2021-07-04,9,9,0,0
AUS,1411,LPA,2013-03-20,2021-07-11,6,6,0,0
AUS,1411,LPA,2013-03-20,2021-07-18,6,6,0,0
AUS,1411,LPA,2013-03-20,2021-07-25,9,8,1,0
AUS,1411,LPA,2013-03-20,2021-08-01,12,11,1,0
AUS,1411,LPA,2013-03-20,2021-08-08,13,12,1,0
AUS,1411,LPA,2013-03-20,2021-08-15,23,23,0,0
AUS,1411,LPA,2013-03-20,2021-08-22,19,16,3,0
AUS,1411,LPA,2013-03-20,2021-08-29,19,18,1,0
AUS,1411,LPA,2013-03-20,2021-09-05,24,23,1,0
AUS,1411,LPA,2013-03-20,2021-09-12,27,24,3,0
AUS,1411,LPA,2013-03-20,2021-09-19,21,21,0,0
AUS,1411,LPA,2013-03-20,2021-09-26,24,22,2,0
AUS,1411,LPA,2013-03-20,2021-10-03,22,19,3,0
AUS,1411,LPA,2013-03-20,2021-10-10,30,29,1,0
AUS,1411,LPA,2013-03-20,2021-10-17,25,23,2,0
AUS,1411,LPA,2013-03-20,2021-10-24,22,19,3,0
AUS,1411,LPA,2013-03-20,2021-10-31,16,15,1,0
AUS,1411,LPA,2013-03-20,2021-11-07,20,20,0,0
AUS,1411,LPA,2013-03-20,2021-11-14,16,16,0,0
AUS,1411,LPA,2013-03-20,2021-11-21,20,19,1,0
AUS,1411,LPA,2013-03-20,2021-11-28,16,15,1,0
AUS,1411,LPA,2013-03-20,2021-12-05,19,17,2,0
AUS,1411,LPA,2013-03-20,2021-12-12,20,20,0,0
AUS,1411,LPA,2013-03-20,2021-12-19,10,9,1,0
AUS,1411,LPA,2013-03-20,2021-12-26,1,1,0,0
AUS,1411,LPA,2013-03-20,2022-01-02,2,2,0,0
AUS,1411,LPA,2013-03-20,2022-01-09,9,9,0,0
AUS,1411,LPA,2013-03-20,2022-01-16,13,13,0,0
AUS,1411,LPA,2013-03-20,2022-01-23,12,12,0,0
AUS,1411,LPA,2013-03-20,2022-01-30,14,14,0,0
AUS,1411,LPA,2013-03-20,2022-02-06,11,10,1,0
AUS,1411,LPA,2013-03-20,2022-02-13,17,17,0,0
AUS,1411,LPA,2013-03-20,2022-02-20,11,11,0,0
AUS,1411,LPA,2013-03-20,2022-02-27,10,10,0,0
AUS,1411,LPA,2013-03-20,2022-03-06,15,14,1,0
AUS,1411,LPA,2013-03-20,2022-03-13,26,24,2,0
AUS,1411,LPA,2013-03-20,2022-03-20,22,19,1,2
AUS,1411,LPA,2013-03-20,2022-03-27,24,16,7,1
AUS,1411,LPA,2013-03-20,2022-04-03,35,21,14,0
AUS,1411,LPA,2013-03-20,2022-04-10,68,41,25,2
AUS,1411,LPA,2013-03-20,2022-04-17,55,39,16,0
AUS,1411,LPA,2013-03-20,2022-04-24,62,39,20,3
AUS,1411,LPA,2013-03-20,2022-05-01,71,46,18,7
AUS,1411,LPA,2013-03-20,2022-05-08,70,48,19,3
